name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
Nudge,nw_nudge,,,phaseteleporter,,8500,1000,3500,,450,500,,60,60,60,40,80,1250,OMNI,,180,0.5,1,,,10,40,50,40,2,,8,20000,,,,,10,5,,,,,,,,,,,,,,,,
Mongol,ffs_mongol,Raider,Low Tech,burndrive,14,6000,850,7000,8000,470,137,1,140,80,60,25,25,1100,PHASE,damper,,,,,,100,180,120,100,3,33,9,80000,4,12,480,0.25,14,14,,"special_allows_system_use, system_allows_special_use",,,,,,,,,,0.5,2,3,,
Goliath,ffs_goliath,Converted Carrier,Low Tech,maneuveringjets,10,8000,800,4000,,200,65,4,25,5,2,4,2,4000,OMNI,,45,0.5,1,,,200,400,50,120,6,,6,80000,2,20,720,0.25,10,10,"CIVILIAN, CARRIER","hegemony, lowtech_bp",,0.4,1,4,,,,,,,,,,
Goliath MK.II,ffs_goliath_p,Converted Carrier,Low Tech,plasmajets,14,6000,200,4000,,200,65,4,35,20,10,8,2,2000,OMNI,,45,0.5,1.2,,,200,400,50,120,6,,6,80000,2,20,720,0.25,14,14,"CIVILIAN, CARRIER","hegemony, lowtech_bp",,0.4,1,4,,,,,,,,,,
Goliath (A),ffs_goliath_a,Converted Carrier,Low Tech,burndrive,10,8000,900,4000,,200,65,4,25,5,2,3,2,4000,OMNI,,45,0.5,1,,,200,400,50,120,6,,6,80000,2,20,720,0.25,10,10,"CIVILIAN, CARRIER","hegemony, lowtech_bp",,0.4,1,4,,,,,,,,,,
ffs_nudibranch,ffs_nudibranch,Monstrous Machine,Low Tech,,,1000,150,3000,,250,60,,100,60,60,40,80,150,FRONT,,120,150,1,,,10,40,50,40,2,,8,20000,,,,,10,5,,,,,,,,,,,,,,,,
ffs_mora_phlanx,ffs_mora_phlanx,,,canister_flak,,1000,150,3000,,250,60,,100,60,60,40,80,150,FRONT,,120,1,1,,,10,40,50,40,2,,8,20000,,,,,10,5,,,,,,,,,,,,,,,,
Rotflower,tp_rotflower,Phase Cruiser,Nightwatch,orion_device,30,5000,1100,4500,,700,500,,60,60,60,30,80,1200,PHASE,damper,,,,,,50,100,120,150,3,50,8,250000,4,30,420,0.25,35,35,,"special_allows_system_use, system_allows_special_use",,,,,,,,,,0.5,2,3,,
Ghoul,tp_ghoul,Strike Destroyer,Nightwatch,displacer_degraded,27,4000,650,6500,10000,700,120,,100,75,50,30,30,800,PHASE,phasecloak,90,,,0.05,0.04,25,50,60,100,2,50,9,120000,5,30,300,0.25,27,27,,,,,,,,,,,,0.5,2,3,,
Revengeanne,tp_revengeanne,Assault Raider,Low Tech,burndrive,30,9000,900,12000,,1300,339,,70,50,40,8,80,4000,OMNI,,180,0.5,1.2,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,,,,,,,,,
Revengeanne (Orion),tp_revengeanne_orion,Assault Raider,Low Tech,orion_device,30,9000,900,12000,,1300,339,,70,50,40,8,80,4000,OMNI,,180,0.5,1.2,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,,,,,,,,,
Crow,tp_crow,,,ammofeed,,4000,800,6000,,600,200,2,110,100,100,40,80,1000,FRONT,damper,180,1,1.2,,,10,40,50,40,2,,8,20000,,,,,10,5,,,,,,,,,,,,,,,,
Barebones,tp_barebones,Assault Raider,Low Tech,microburn,30,9000,900,12000,,1300,344,,70,50,40,8,80,4000,OMNI,,180,0.5,1.2,,,400,800,400,450,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,,,,,,,,,
Rapacious,tp_rapacious,Battlecruiser,Pirate,tp_infernium_burner,30,9000,900,11000,,800,292,,70,50,40,8,80,4000,OMNI,,180,0.5,1,,,400,800,100,250,8,56,8,330000,4,20,600,0.25,45,45,,,,,,,,,,,,,,,,
Phagel,tp_phagel,,Pirate,maneuveringjets,,15000,1500,17000,,1700,600,,70,50,40,20,80,150,FRONT,,120,1,1,,,10,40,50,40,2,,8,20000,,,,,10,5,,,,,,,,,,,,,,,,
