name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number,numOfBeams
Phase Hullcutter,tp_phase_hullcutter,1,,200,300,175,,,0,100,7,,,,ENERGY,,175,0.25,0.25,,,,,,,10000,,,,,,,"PD,ANTI_FTR",,,Nightwatch,,General,,,,Perfect,,,,,,,
Tachyon TPC,ffs_tachyon_tpc,3,0.5,8000,1000,1500,,1000,0,7,25,,,,ENERGY,,2000,0.5,1,1,4,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,,,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,,
Overclocked Heavy Mortar,tp_overclockedheavymortar,0,,600,450,,110,,12,30,8,,,,HIGH_EXPLOSIVE,90,,0,0.23,1,0.1,0,30,5,5,,500,,,30,,,,,,Pirate,,Anti Armor,,,,,,,,,,,
Pusher Plate (thick),tp_pusher_plate_large_thick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,,
Red Lance,tp_red_lance,3,0.5,8000,900,1500,,1000,0,7,0,,,,ENERGY,,0,0.5,1,1,4,,,,,10000,,,,,,,SYSTEM,,,,,Suppression,,,,,"Hits on hull or armor frequently arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,,
Canister Flak,tp_canister_flak,,,,200,,200,,,,,,0,,FRAGMENTATION,0,0,0,0.1,5,0.5,150,150,0,0,,50,200,2,100,,,SYSTEM,,,,,,,,,,,,,,,,
Drake (faster),tp_drake_faster,1,,600,800,330,,,0,40,6,,,,FRAGMENTATION,,150,1.7,0,0.2,0.1,,,,,10000,,,,,,,ANTI_FTR,,,,,Suppression,,,,,,,,,,,
Drake,tp_drake,1,,600,800,550,,,0,40,8,,,,HIGH_EXPLOSIVE,,650,0.1,0.2,0.6,1.1,,,,,10000,,,,,,,ANTI_FTR,,,,,Suppression,,,,,,,,,,,
Drake (long fade) (1.9s),tp_drake_fxdrone,1,,600,800,70,,,0,40,1,,,,HIGH_EXPLOSIVE,,150,0.1,1.6,0.2,0.1,,,,,10000,,,,,,,ANTI_FTR,,,,,Suppression,,,,,,,,,,,
Drake Battery,tp_drake_battery,1,,600,900,1650,,,0,40,24,,,,HIGH_EXPLOSIVE,,1815,0.1,0.2,0.6,1.1,,,,,10000,,,,,,,ANTI_FTR,,,,,Suppression,,,,,,,,,,,3
